2018-02-05 22:18:02.936440,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:18:43.267099,0                         ,BTC      ,59512.038    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6314.73,237     ,USD/BTC     ,USD      ,59512.038
1                         ,BTC                       ,2245.028 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2245.028
2018-02-05 22:18:43.396288,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:18:43.396288,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:19:31.765910,0                         ,BTC      ,59512.038    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6259.31,237     ,USD/BTC     ,USD      ,59512.038
1                         ,BTC                       ,2245.028 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2245.028
2018-02-05 22:19:31.765905,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:19:31.765905,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:20:14.803870,0                         ,BTC      ,59523.427    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6285.48,237     ,USD/BTC     ,USD      ,59523.427
1                         ,BTC                       ,2243.075 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6370.66   ,125    ,BTC/USD ,USD         ,2243.075
2018-02-05 22:20:14.802331,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:20:14.802331,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:20:57.237779,0                         ,BTC      ,59508.061    ,BTC/USD     ,BITS   ,4        ,Bitstamp  ,346       ,6253.26,237     ,USD/BTC     ,USD      ,59508.061
1                         ,BTC                       ,2243.046 ,BTC/USD      ,CBNK        ,58     ,Coinsbank,6739      ,6487.3    ,125    ,BTC/USD ,USD         ,2243.046
2018-02-05 22:20:57.237727,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
2018-02-05 22:20:57.237727,                          ,         ,             ,            ,       ,         ,          ,          ,       ,        ,            ,
